gene,signedsig__GSE125583_PRJNA516886_meta,signedsig__GSE159699_PRJNA670209_meta,signedsig__GSE231341_PRJNA964438_meta,signedsig__GSE95587_PRJNA377568_meta,signedsig__MayoRNAseq_cerebellum_meta1,signedsig__MayoRNAseq_cerebellum_meta2,signedsig__MSBB_meta1,signedsig__MSBB_meta2,signedsig__MSBB_meta3,signedsig__MSBB_meta4,signedsig__ROSMAP_meta1,signedsig__ROSMAP_meta6
ABCB6,0.0521466555644008,0.0530538858384891,0.0041893967306382,0.0169528608009383,0.31156987118303,0.0053329261097877,0.0078183082991892,0.0236804884637178,0.0124378584233973,0.0364217085492804,0.007566958491552,0.0040761415726676
ABCB7,0.0018349638153949,0.0063937454747501,0.0041593691815196,0.0255371053701405,0.0711644004463468,0.0062190488358958,0.0034388180682878,0.0073985815232998,0.0056557847125152,0.0075164286184795,0.0014381972338632,0.0050000106216222
ABCB8,0.0285417110400038,0.0244550321758495,0.0031915613820665,0.0198925453674765,0.0270083064035388,0.0138341058305222,0.0053063590875671,0.0149959191074661,0.0443305256115037,0.01575462338005,0.0121155615650942,0.0034568955807927
ABCB9,0.0937358619438245,0.0144055399103738,0.0060852433080731,0.1268452469717234,0.0813055624296538,0.1489617891271768,0.0048868683757012,0.0312066924717476,0.0135433825242724,0.0172967126370855,0.0117094436984366,0.0065739750173012
ABCC1,0.0134070299772873,0.0384135717199883,0.001795175861537,0.0040177333170738,0.2862576126766141,0.0387809892424858,0.0014242220779248,0.0103674230949695,0.0173766922363743,0.0197794186956693,0.0042951735921548,0.0073529411161048
ABCC10,0.0077712524871669,0.0085193832088486,0.0005444067420703,0.0063957260199656,0.0857540080333765,0.0034447893758443,0.0003680941472033,0.0031140521875547,0.0005555323648029,0.0089428129288273,0.0018609472677579,0.0070202579945445
ABCC11,0.0141697488187906,0.0092277206759539,0.0,0.0018383575728124,0.0312900792833776,0.0011179953016999,0.0137878141493808,0.0006742368174858,0.0372387692767647,0.0023533839254929,0.0058513067461619,0.0052557838163928
ABCC12,0.0531751651997208,0.0001958570962368,0.0,0.035515859384838,0.0756677702961285,0.0066204232585945,0.0023451957453102,0.0018470761383729,0.0001658447943359,0.0345319453836828,0.0177297818455485,0.0011990622385139
ABCC13,0.0031502687856801,0.0064375765962888,0.0067800490223665,0.0033467759439448,0.055330776638225,0.0307642090718507,0.0028141231847203,0.0059017290409208,0.0077544938600063,0.0220693945932238,0.0078413417702152,0.0283933559942312
ABCC2,0.0807337131193251,0.0532595952546865,0.011483568765938,0.0042400965775901,0.0009413925274793,0.0018086854847898,0.0020606291554912,0.0180125310843234,0.0055764989182997,0.027899429901152,0.0037096587001707,4.903303100090272e-05
ABCC3,0.0947359901361501,0.0061202192293485,0.0006720480176767,0.0087080839468261,0.0545923118984907,0.0164453044289494,0.0020269220240845,0.0033339359746338,0.0034477924321843,0.0042595000188718,0.0024085819454017,0.0245214973707708
ABCC4,0.0011538209631558,0.0115192208774794,0.0075459415951345,0.0067084712600204,0.0026841355743805,0.0739380479742204,0.0050176892264398,0.020576538417907,0.0039327947022158,0.0052146175882332,0.0009512722199837,0.0072637811276619
ABCC5,0.0245734469708376,0.012253295254987,0.009937464675618,0.0057433857274267,0.1883409036005049,0.0448681745061448,0.0303024729607278,0.0077955800468102,0.0070597034557292,0.0220045608882001,0.0056833992451276,0.0077758445837964
ABCC6,0.0061140469298826,0.0093124657088151,0.0258786551594965,9.303326703705882e-05,0.0973892368785258,0.0200906868174443,0.0356887253486611,0.0061943635617191,0.0444588206434229,0.0397394140933576,0.003954412325616,0.0057581194983344
ABCC6P1,0.0027451070125127,0.0483368210931828,0.0222401871388792,0.0320945495910556,0.0002344476470157,0.004213578807479,0.0130929290686655,0.0040607664948375,0.0030684887715402,0.0061763123497073,0.0015225360884485,0.0097382598789734
ABCC8,0.0505411973217932,0.0358346346723936,0.005967632087992,0.0031814144012587,0.0720289991170048,0.0020641816837322,0.0070328708954594,0.0263922427683506,0.0048882844738985,0.0203776584061268,0.013295747342918,0.0084360341045313
ABCC9,0.0130155282715822,0.0021158407593577,2.898140905978089e-05,0.0027882800817062,0.0039012501661767,0.007424746356976,0.0092477832912546,0.0054670830029144,0.0006764219201842,0.016477564961281,0.0023582694098029,0.0011748777781469
ABCD1,0.1011830815234046,0.0001137280244423,0.0113696206682762,0.0026629206914642,1.1296887140492006e-05,0.0010860129839854,1.411033439921242e-05,0.0001095578541999,0.0094963687305727,2.559738248515632e-05,0.0075494964171719,0.0091988237811183
ABCD3,0.0105960625474975,0.0456832481956608,0.0014655982074793,0.000313460085549,0.0316089592004114,0.0015754569988164,0.0064443341838184,0.0134761255390438,0.0030378198789919,0.0089706581503129,0.0002578738539534,0.0015819063206383
ABCD4,0.0095003860406692,0.0157246991687574,0.0037035406243088,0.012971349412326,0.1012486522337447,0.0186630887038541,0.0038391980822012,0.0168837880559496,0.0022863634494327,0.0109006281568167,0.0034951739180659,0.004608592891237
ABCE1,0.0614486402285962,0.0438435630837148,0.0032492556388206,0.0256734469884519,0.3446813460638774,0.0121681437198173,0.0153404897358696,0.0144570392839042,0.0199404748046401,0.0114277709089127,0.002248842112014,0.0033948209111318
ABCF1,0.0235138927290146,0.00988243215113,0.0066952190860442,0.006423027057514,0.057507756756104,0.0091046767365552,0.0147713808944128,0.0104493295132883,0.0150509378282302,0.0194646343832031,0.0044183521728727,0.0059808907416322
ABCF2,0.0540477633945182,0.0281637848835336,0.0010775317946249,0.0431394473267311,0.3096024562251324,0.0026552105070417,0.0084870703867307,0.0217654722552077,0.0076592035649777,0.0091786999295427,0.0013056116248759,0.0027911810414424
ABCF3,0.0866708129490756,0.0089583135755242,0.0025051891025825,0.0149657512140387,0.1087435296842757,0.0099247493179575,0.0081320413742436,0.0606075935078527,0.0198255283972155,0.0391526244016853,0.00119640864864,0.0074806720028481
ABCG1,0.0878369969323941,0.0339435073829262,0.0087649596956704,0.0051099344106256,0.0573055747247877,0.0292891465866728,0.0067131023014614,0.0315027620272817,0.0295935370079449,0.0369987589783569,0.0016434203612808,0.0049565074084834
